Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
"Shohei Ohtani U,P | LAD ",581,127,173,84,30,8,51,109,94,164,33,5,0.298,0.397,0.64,925
Juan Soto OF | NYM,574,115,158,88,28,2,40,108,129,128,19,4,0.275,0.408,0.54,832
Corbin Carroll OF | ARI ,573,115,148,80,28,14,26,78,66,136,40,6,0.258,0.342,0.492,791
Francisco Lindor SS | NYM ,621,111,165,96,36,1,32,92,62,132,30,5,0.266,0.342,0.481,780
Freddie Freeman 1B | LAD ,578,98,176,105,44,2,25,94,70,116,13,2,0.304,0.387,0.517,696
Mookie Betts SS | LAD ,541,99,154,96,29,3,26,88,73,77,13,2,0.285,0.37,0.493,692
Kyle Schwarber DH | PHI ,587,110,134,65,21,1,47,113,113,203,5,2,0.228,0.357,0.508,677
Nico Hoerner 2B | CHC,600,91,171,130,30,3,8,59,44,66,34,6,0.285,0.343,0.385,670
Matt Olson 1B | ATL,611,101,163,89,35,2,37,111,89,171,1,0,0.267,0.363,0.512,652
Kyle Tucker OF | LAD ,450,81,125,72,25,3,25,78,74,78,22,3,0.278,0.38,0.513,644
Trea Turner SS | PHI,578,95,166,111,30,4,21,69,38,118,28,4,0.287,0.337,0.462,642
Elly De La Cruz SS | CIN ,545,91,139,84,27,8,20,69,57,181,46,11,0.255,0.328,0.444,638
C.J. Abrams SS | WAS,561,85,140,84,31,6,19,63,36,124,36,6,0.25,0.309,0.428,625
Ronald Acuna Jr. OF | ATL ,391,87,121,79,18,2,22,54,59,80,33,6,0.309,0.406,0.534,620
Ketel Marte 2B | ARI ,518,91,147,87,26,4,30,83,67,99,6,2,0.284,0.368,0.523,607
Marcus Semien 2B | NYM,597,95,149,97,28,2,22,79,62,103,11,2,0.25,0.322,0.414,602
Rafael Devers 1B | SF ,571,92,151,83,34,2,32,97,80,155,3,1,0.264,0.359,0.499,593
Fernando Tatis Jr. OF | SD ,522,89,139,87,27,1,24,66,58,122,24,5,0.266,0.344,0.46,591
Manny Machado 3B | SD ,584,81,157,100,28,0,29,97,50,121,9,2,0.269,0.326,0.466,580
Jackson Chourio OF | MIL,538,84,146,89,32,4,21,78,34,121,22,7,0.271,0.316,0.463,575
Willy Adames SS | SF,585,87,135,77,28,1,29,93,75,172,13,4,0.231,0.319,0.431,565
Ian Happ OF | CHC ,573,87,140,81,34,2,23,83,89,157,11,3,0.244,0.349,0.431,564
William Contreras C | MIL,567,91,157,103,34,1,19,82,75,128,7,2,0.277,0.363,0.441,559
Christian Yelich DH | MIL ,464,79,130,87,22,1,20,74,61,122,22,3,0.28,0.368,0.461,559
Bryson Stott 2B | PHI ,530,70,139,100,24,2,13,62,49,95,29,4,0.262,0.325,0.389,557
Bryce Harper 1B | PHI ,503,80,141,81,34,0,26,78,75,126,10,3,0.28,0.376,0.503,555
Spencer Steer 1B | CIN,555,71,136,81,31,3,21,84,64,135,16,2,0.245,0.33,0.425,550
Alex Bregman 3B | CHC ,545,82,144,90,29,2,23,78,62,81,2,1,0.264,0.345,0.451,546
Ozzie Albies 2B | ATL,533,74,137,87,27,3,20,79,43,89,12,2,0.257,0.316,0.431,544
Luis Arraez 1B | SF,610,73,195,154,31,3,7,59,31,28,8,3,0.32,0.355,0.415,543
Brice Turang 2B | MIL ,516,72,133,100,20,3,10,57,51,116,33,6,0.258,0.325,0.366,530
Marcell Ozuna DH | PIT,541,80,147,88,26,0,33,91,75,149,0,0,0.272,0.361,0.503,529
Geraldo Perdomo SS | ARI ,447,77,122,83,25,4,10,61,65,76,17,4,0.273,0.368,0.414,527
Eugenio Suarez 3B | CIN ,586,83,140,77,28,1,34,105,55,195,3,1,0.239,0.313,0.464,524
Dansby Swanson SS | CHC ,563,82,137,88,25,3,21,74,56,155,16,2,0.243,0.314,0.41,515
Seiya Suzuki OF | CHC ,533,75,144,85,30,5,24,83,64,151,9,5,0.27,0.348,0.48,514
Bryan Reynolds OF | PIT,594,75,155,97,33,4,21,82,56,156,8,2,0.261,0.331,0.436,505
Adolis Garcia OF | PHI,547,78,127,71,28,0,28,89,46,162,11,3,0.232,0.296,0.437,501
Nick Castellanos OF | SD,593,77,154,97,31,3,23,88,36,152,7,1,0.26,0.306,0.438,498
Teoscar Hernandez OF | LAD ,575,73,149,89,30,2,28,94,39,178,8,2,0.259,0.311,0.464,495
Jackson Merrill OF | SD,497,68,139,85,28,6,20,78,31,104,8,2,0.28,0.322,0.481,493
Agustin Ramirez C | MIA,537,72,124,69,33,1,21,67,36,113,16,3,0.231,0.287,0.413,492
TJ Friedl OF | CIN ,455,63,118,83,16,4,15,58,51,86,16,3,0.259,0.348,0.411,478
Alec Bohm 3B | PHI,525,63,147,99,31,2,15,84,37,87,4,1,0.28,0.33,0.432,475
Lourdes Gurriel OF | ARI ,521,63,137,88,27,2,20,79,31,93,7,2,0.263,0.309,0.438,471
Matt Chapman 3B | SF,513,80,123,65,34,2,22,64,66,150,9,3,0.24,0.333,0.443,469
Michael Harris OF | ATL,519,63,139,93,24,4,18,64,21,108,17,5,0.268,0.299,0.433,464
Will Smith C | LAD ,434,74,115,72,22,2,19,71,59,94,2,1,0.265,0.36,0.456,463
Xander Bogaerts SS | SD ,505,65,137,97,25,1,14,52,44,94,17,2,0.271,0.33,0.408,460
Luis Garcia 2B | WAS ,478,62,128,88,24,2,14,62,27,77,15,5,0.268,0.305,0.414,452
Jurickson Profar OF | ATL ,447,68,116,75,24,1,16,58,58,83,7,2,0.26,0.355,0.425,448
Carlos Santana 1B | ARI,495,63,116,74,23,0,19,70,61,98,6,0,0.234,0.32,0.396,448
Nate Lowe 1B | CIN ,550,72,138,93,26,2,17,78,75,150,1,0,0.251,0.343,0.398,441
Nolan Arenado 3B | ARI ,513,63,134,93,22,1,18,72,38,81,3,2,0.261,0.314,0.413,439
"Otto Lopez 2B,SS | MIA",474,58,122,90,22,0,10,58,34,78,18,5,0.257,0.309,0.367,433
Austin Riley 3B | ATL ,492,78,132,80,26,2,24,69,41,139,2,1,0.268,0.329,0.476,433
Luis Robert OF | NYM ,440,63,106,62,22,0,22,56,33,142,25,6,0.241,0.3,0.441,432
