Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
"Shohei Ohtani U,P | LAD ",548,123,163,83,29,9,42,98,88,153,27,5,0.297,0.398,0.613,842
Juan Soto OF | NYM,534,113,150,85,25,3,37,97,105,126,23,4,0.281,0.399,0.547,788
Kyle Tucker OF | LAD ,527,101,148,92,27,4,25,80,99,101,24,4,0.281,0.398,0.49,726
Fernando Tatis Jr. OF | SD ,567,111,164,100,31,3,30,77,67,136,27,6,0.289,0.371,0.513,721
Francisco Lindor SS | NYM ,584,107,161,96,35,1,29,83,58,125,26,5,0.276,0.349,0.488,721
Trea Turner SS | PHI,605,100,185,128,32,6,19,76,39,122,33,7,0.306,0.353,0.473,701
Corbin Carroll OF | ARI ,547,101,146,76,29,11,30,81,64,150,28,7,0.267,0.348,0.525,691
Elly De La Cruz SS | CIN ,545,93,148,86,30,8,24,78,58,177,41,9,0.272,0.344,0.488,668
Ketel Marte 2B | ARI ,548,99,160,95,29,1,35,92,74,107,5,2,0.292,0.378,0.54,661
Luis Robert OF | NYM ,524,87,133,83,25,0,25,84,53,160,43,12,0.254,0.325,0.445,653
Oneil Cruz OF | PIT ,520,78,134,70,28,5,31,79,63,173,37,5,0.258,0.34,0.51,642
Kyle Schwarber DH | PHI ,519,97,128,62,21,1,44,108,88,181,7,2,0.247,0.364,0.545,637
Manny Machado 3B | SD ,578,89,168,102,36,0,30,104,46,133,12,3,0.291,0.344,0.509,631
Jackson Chourio OF | MIL,590,94,163,91,39,7,26,89,34,142,20,6,0.276,0.317,0.498,630
Pete Crow-Armstrong OF | CHC,535,79,136,73,34,4,25,83,29,147,32,8,0.254,0.299,0.473,610
Ronald Acuna Jr. OF | ATL ,529,102,150,98,22,3,27,62,80,147,19,4,0.284,0.382,0.49,604
Jackson Merrill OF | SD,563,83,167,93,39,10,25,97,36,137,8,3,0.297,0.341,0.535,594
Geraldo Perdomo SS | ARI ,469,77,136,91,26,3,16,74,67,80,20,5,0.29,0.381,0.461,593
Rafael Devers 1B | SF ,529,91,145,80,31,2,32,98,88,153,2,0,0.274,0.379,0.522,590
Mookie Betts SS | LAD ,572,87,156,110,26,4,16,77,59,78,9,2,0.273,0.342,0.416,579
Willy Adames SS | SF,532,86,136,78,26,1,31,89,62,153,14,4,0.256,0.335,0.483,573
Bryce Harper 1B | PHI ,555,79,146,81,37,0,28,83,70,142,10,2,0.263,0.352,0.481,568
C.J. Abrams SS | WAS,513,81,135,81,30,5,19,59,33,115,28,6,0.263,0.323,0.452,568
Alex Bregman 3B | CHC ,534,82,147,82,36,1,28,80,60,91,2,1,0.275,0.356,0.504,566
Christian Yelich DH | MIL ,548,82,144,90,23,1,30,95,57,168,13,4,0.263,0.337,0.473,559
Brice Turang 2B | MIL ,556,85,153,104,28,3,18,75,52,150,20,6,0.275,0.338,0.433,551
Freddie Freeman 1B | LAD ,537,76,159,98,38,2,21,82,60,117,6,2,0.296,0.373,0.492,545
Xander Bogaerts SS | SD ,563,76,157,106,34,1,16,67,44,118,21,3,0.279,0.331,0.428,542
Sal Frelick OF | MIL ,543,78,150,107,23,5,15,67,45,102,17,5,0.276,0.335,0.42,537
Kyle Stowers OF | MIA ,517,79,146,84,26,4,32,83,58,161,9,2,0.282,0.36,0.534,536
Mickey Moniak OF | COL ,509,76,141,81,25,10,25,84,29,131,13,4,0.277,0.319,0.513,535
Matt Olson 1B | ATL,546,83,150,84,39,2,25,87,71,145,1,0,0.275,0.362,0.491,532
Nico Hoerner 2B | CHC,487,71,147,108,29,3,7,47,32,49,23,6,0.302,0.355,0.417,530
Bryan Reynolds OF | PIT,555,75,158,93,36,4,25,85,54,150,6,2,0.285,0.356,0.499,526
James Wood OF | WAS,552,80,145,82,35,1,27,85,67,188,14,6,0.263,0.344,0.476,523
"Xavier Edwards 2B,SS | MIA",503,72,147,116,21,6,4,45,51,92,30,7,0.292,0.358,0.382,520
Michael Busch 1B | CHC ,476,73,131,71,25,4,31,80,50,125,4,0,0.275,0.357,0.54,517
Bo Bichette SS | NYM,567,75,164,105,38,3,18,86,43,121,6,3,0.289,0.342,0.462,516
Jakob Marsee OF | MIA ,493,68,136,81,35,5,15,69,48,133,22,8,0.276,0.344,0.458,510
Matt Chapman 3B | SF,464,84,120,64,29,2,25,69,61,128,10,4,0.259,0.351,0.491,507
Marcus Semien 2B | NYM,494,74,123,80,22,2,19,74,52,104,12,2,0.249,0.323,0.417,504
Luis Arraez 1B | SF,540,67,163,119,29,7,8,54,29,30,9,3,0.302,0.34,0.426,501
Seiya Suzuki OF | CHC ,532,70,141,75,34,4,28,87,59,168,8,3,0.265,0.338,0.502,499
Hunter Goodman C | COL,498,72,145,86,27,4,28,96,33,133,2,1,0.291,0.34,0.53,498
Spencer Steer 1B | CIN,477,66,119,69,23,3,24,78,51,120,12,1,0.249,0.328,0.461,496
Ramon Laureano OF | SD,485,73,142,85,32,4,21,81,32,129,10,5,0.293,0.345,0.505,494
Ozzie Albies 2B | ATL,522,66,131,87,27,3,14,68,43,82,13,3,0.251,0.311,0.395,491
Brandon Lowe 2B | PIT,527,79,138,83,24,1,30,83,46,150,5,3,0.262,0.323,0.482,490
Austin Riley 3B | ATL ,575,84,158,96,35,3,24,82,40,160,2,1,0.275,0.329,0.471,488
Dansby Swanson SS | CHC ,523,76,131,82,26,3,20,68,46,155,18,3,0.251,0.313,0.426,482
Jorge Polanco 2B | NYM ,491,66,129,75,30,0,24,80,46,103,6,3,0.263,0.326,0.47,480
Michael Harris OF | ATL,540,57,143,93,24,7,19,74,18,112,17,6,0.265,0.291,0.441,476
"Otto Lopez 2B,SS | MIA",486,63,126,87,21,1,17,72,42,93,14,6,0.259,0.322,0.411,474
Adolis Garcia OF | PHI,502,67,127,72,31,0,24,86,33,148,13,5,0.253,0.303,0.458,473
Jung Hoo Lee OF | SF,478,69,136,87,29,9,11,56,39,78,10,3,0.284,0.344,0.452,473
"Alec Burleson 1B,OF | STL",493,59,142,94,24,3,21,72,36,86,7,2,0.288,0.337,0.477,471
Justin Crawford OF | PHI ,477,71,126,79,24,4,19,67,45,127,14,4,0.264,0.333,0.451,468
Moises Ballesteros DH | CHC ,461,70,124,73,23,3,25,75,56,120,5,1,0.269,0.354,0.495,467
Spencer Horwitz 1B | PIT,474,73,132,81,30,0,21,71,60,104,1,0,0.279,0.363,0.475,466
Nolan Arenado 3B | ARI ,495,69,127,84,22,2,19,73,42,78,3,1,0.257,0.317,0.424,463
Bryson Stott 2B | PHI ,440,58,116,81,20,3,12,58,42,89,22,4,0.264,0.327,0.405,461
Will Smith C | LAD ,460,73,133,90,24,2,17,72,58,106,2,2,0.289,0.373,0.461,460
Ian Happ OF | CHC ,460,72,116,63,31,1,21,69,65,134,7,2,0.252,0.348,0.461,454
Teoscar Hernandez OF | LAD ,487,63,132,82,26,2,22,85,32,130,7,2,0.271,0.319,0.468,453
Luis Garcia 2B | WAS ,476,61,127,83,27,1,16,62,26,88,16,5,0.267,0.305,0.429,452
"Noelvi Marte 3B,OF | CIN ",432,62,118,63,26,3,26,70,26,121,13,4,0.273,0.322,0.528,452
William Contreras C | MIL,479,74,127,82,26,1,18,68,57,110,5,2,0.265,0.344,0.436,450
Brenton Doyle OF | COL ,456,67,115,75,22,2,16,63,34,122,21,3,0.252,0.304,0.414,450
Max Muncy 3B | LAD,423,64,103,61,19,2,21,73,72,114,5,1,0.243,0.361,0.447,449
Dylan Crews OF | WAS ,454,65,106,70,17,4,15,50,39,111,26,7,0.234,0.304,0.388,449
Victor Scott II OF | STL,450,61,103,71,18,4,10,47,45,132,34,6,0.229,0.31,0.353,449
Agustin Ramirez C | MIA,505,66,122,68,32,1,21,64,37,125,13,3,0.242,0.302,0.434,447
Owen Caissie OF | MIA,483,68,126,81,23,4,18,66,43,132,13,3,0.261,0.327,0.437,446
Heliot Ramos OF | SF,495,70,142,97,22,2,21,66,38,125,6,3,0.287,0.35,0.467,440
Bryce Eldridge DH | SF ,457,64,119,69,26,2,22,73,55,129,5,1,0.26,0.342,0.47,438
Alec Bohm 3B | PHI,494,60,144,100,28,3,13,75,34,87,3,1,0.291,0.342,0.439,438
Sal Stewart 1B | CIN ,472,66,122,74,23,1,24,73,46,126,5,1,0.259,0.329,0.464,436
Tyler Freeman OF | COL ,416,61,118,87,22,4,5,41,48,73,20,7,0.284,0.373,0.392,431
Ivan Herrera DH | STL ,411,57,118,77,16,1,24,68,45,97,8,2,0.287,0.368,0.506,431
Ezequiel Tovar SS | COL,508,73,144,87,31,8,18,62,26,134,7,5,0.283,0.321,0.482,427
Andrew Vaughn 1B | MIL ,472,54,126,79,25,1,21,85,35,103,1,0,0.267,0.322,0.458,425
Andy Pages OF | LAD,475,58,128,85,23,2,18,66,27,106,11,5,0.27,0.318,0.44,425
Eugenio Suarez 3B | CIN ,505,68,120,61,25,1,33,88,36,183,3,1,0.238,0.296,0.487,423
Jorge Mateo OF | ATL,393,53,94,57,22,3,12,43,33,107,33,6,0.239,0.299,0.402,421
Jordan Beck OF | COL,451,64,124,80,24,5,15,56,41,136,17,7,0.275,0.341,0.45,417
Carlos Santana 1B | ARI,419,64,107,76,15,0,16,67,55,98,6,1,0.255,0.346,0.406,415
"Ryan O'Hearn 1B,OF | PIT",466,60,129,88,23,3,15,61,58,104,4,1,0.277,0.361,0.436,413
Tyler Fitzgerald 2B | SF,464,64,124,81,25,3,15,48,33,134,20,8,0.267,0.324,0.431,410
JJ Wetherholt SS | STL ,473,61,124,83,24,3,14,54,37,118,15,4,0.262,0.322,0.414,409
Masyn Winn SS | STL ,491,71,131,87,28,4,12,51,33,107,9,5,0.267,0.318,0.413,408
Mike Tauchman OF | NYM,424,69,119,77,24,3,15,55,55,108,4,1,0.281,0.37,0.458,407
Mark Vientos 3B | NYM,498,63,128,75,24,2,27,82,34,153,1,0,0.257,0.307,0.476,407
TJ Friedl OF | CIN ,412,59,106,73,16,2,15,51,52,89,9,2,0.257,0.353,0.415,402
Connor Norby 3B | MIA,490,67,127,80,27,2,18,58,34,145,11,4,0.259,0.315,0.433,401
Brandon Marsh OF | PHI ,441,64,118,75,25,3,15,57,44,137,12,3,0.268,0.333,0.44,396
Drake Baldwin C | ATL ,425,55,112,70,21,3,18,69,37,83,1,0,0.264,0.328,0.454,395
TJ Rumfield 1B | COL ,456,60,120,76,25,2,17,67,43,120,4,1,0.263,0.334,0.439,394
Daylen Lile OF | WAS,394,58,113,71,21,9,12,50,27,79,10,7,0.287,0.342,0.477,388
Kyle Karros 3B | COL ,465,71,123,88,21,2,12,57,49,123,6,1,0.265,0.342,0.396,387
Luis Matos OF | SF,404,58,104,63,21,4,16,52,35,95,11,2,0.257,0.319,0.448,387
Nate Lowe 1B | CIN ,462,60,114,71,19,3,21,75,62,152,1,0,0.247,0.337,0.437,383
"Dylan Moore 2B,OF | PHI ",318,52,83,48,19,4,12,45,30,86,22,6,0.261,0.331,0.459,383
Pavin Smith 1B | ARI,435,64,117,68,29,2,18,63,62,138,4,3,0.269,0.358,0.469,383
Carson Benge OF | NYM ,384,57,99,60,20,3,16,54,39,101,11,3,0.258,0.332,0.451,380
"Miguel Andujar 3B,OF | SD",403,53,127,90,24,2,11,57,24,63,4,1,0.315,0.357,0.467,380
Ha-seong Kim SS | ATL ,384,51,93,62,17,2,12,46,47,91,18,5,0.242,0.328,0.391,378
Alex Call OF | LAD,367,59,104,68,23,4,9,50,52,77,6,2,0.283,0.38,0.441,378
Nick Gonzales 2B | PIT,504,60,143,100,27,6,10,54,29,98,3,2,0.284,0.326,0.421,374
Hye Seong Kim 2B | LAD ,388,50,109,78,19,2,10,47,28,96,19,4,0.281,0.333,0.417,372
Gavin Sheets OF | SD,382,52,107,63,25,2,17,60,33,88,4,1,0.28,0.343,0.489,371
"Luis Rengifo 2B,3B | MIL",416,55,115,86,18,3,8,46,27,73,14,7,0.276,0.324,0.392,371
Tyler Stephenson C | CIN,434,61,109,60,25,1,23,72,45,147,1,0,0.251,0.326,0.472,371
Jake Mangum OF | PIT,384,41,110,80,21,2,7,41,28,78,22,4,0.286,0.338,0.406,371
Jose Miranda 3B | SD ,430,52,130,88,25,5,12,58,22,81,3,0,0.302,0.341,0.467,369
Gabriel Moreno C | ARI,423,58,113,80,17,1,15,61,44,94,3,2,0.267,0.338,0.418,369
Jake Cronenworth 2B | SD ,407,57,104,67,22,3,12,60,51,106,4,2,0.256,0.355,0.413,368
Liover Peguero SS | PHI ,388,55,103,69,18,2,14,50,30,97,14,3,0.266,0.326,0.43,367
Matt McLain 2B | CIN ,465,68,107,71,19,1,16,49,45,154,14,3,0.23,0.305,0.379,365
Joseph Ortiz SS | MIL ,439,57,103,71,20,3,9,50,31,85,12,4,0.235,0.289,0.355,362
Garrett Mitchell OF | MIL ,383,56,95,55,24,4,12,43,39,118,17,4,0.248,0.322,0.426,360
J.T. Realmuto C | PHI,481,58,126,85,25,2,14,56,35,127,7,2,0.262,0.322,0.41,360
Mike Yastrzemski OF | ATL ,395,57,100,58,22,3,17,46,47,96,6,2,0.253,0.335,0.453,359
Jacob Young OF | WAS ,410,55,102,79,18,2,3,41,28,88,23,10,0.249,0.308,0.324,359
David Hamilton 2B | MIL,324,45,79,54,14,2,9,38,25,77,27,7,0.244,0.3,0.383,358
Miguel Amaya C | CHC,388,45,103,61,26,1,15,70,27,84,1,0,0.266,0.318,0.454,355
Esteury Ruiz OF | MIA ,386,52,96,61,19,3,13,48,33,106,17,5,0.249,0.311,0.414,354
"Brett Baty 2B,3B | NYM ",390,54,101,64,17,3,17,52,33,106,8,1,0.259,0.319,0.449,350
Brady House 3B | WAS ,491,57,122,85,23,1,13,59,26,125,10,2,0.248,0.285,0.379,350
Griffin Conine OF | MIA,421,58,109,64,27,3,15,52,38,121,7,1,0.259,0.324,0.444,350
Jordan Lawlar 3B | ARI ,384,53,97,60,21,2,14,51,38,95,8,2,0.253,0.324,0.427,349
Robert Hassell OF | WAS,477,61,115,80,20,2,13,53,32,134,11,2,0.241,0.293,0.373,348
Adrian Del Castillo DH | ARI ,419,50,112,67,25,1,19,64,40,128,3,2,0.267,0.335,0.468,343
Harrison Bader OF | SF ,409,59,110,75,21,1,13,48,32,117,11,8,0.269,0.331,0.42,343
Enmanuel Valdez 1B | PIT,378,46,99,58,23,3,15,58,41,89,3,1,0.262,0.338,0.458,342
Will Benson OF | CIN,389,55,94,53,17,4,20,64,29,117,5,3,0.242,0.293,0.46,340
Warming Bernabel 1B | WAS ,415,53,107,67,24,2,14,53,34,94,3,1,0.258,0.318,0.426,338
"Casey Schmitt 2B,3B | SF ",412,52,111,73,22,1,15,55,32,103,4,1,0.269,0.327,0.437,338
"Tommy Edman 2B,OF | LAD ",386,49,99,67,19,2,11,50,25,74,7,1,0.257,0.306,0.402,337
Matt Shaw 3B | CHC ,368,51,84,52,18,3,11,41,34,95,16,4,0.228,0.298,0.383,337
Nick Castellanos OF | SD,390,55,105,68,23,2,12,53,23,89,5,1,0.269,0.314,0.431,336
Heriberto Hernandez OF | MIA,381,55,99,63,19,2,15,59,39,118,6,3,0.26,0.333,0.438,336
"Jared Triolo 1B,3B,SS | PIT ",381,52,93,59,21,2,11,35,41,93,14,3,0.244,0.32,0.396,333
Blake Perkins OF | MIL,377,52,88,61,15,4,8,45,36,109,17,4,0.233,0.303,0.358,332
Zac Veen OF | COL,374,50,93,58,18,3,14,49,31,107,11,3,0.249,0.314,0.425,329
Bryan De La Cruz OF | PHI ,393,52,100,64,18,1,17,57,30,115,6,2,0.255,0.309,0.435,327
Francisco Alvarez C | NYM ,407,54,103,65,20,1,17,59,38,114,1,0,0.253,0.324,0.432,327
Jake McCarthy OF | COL,374,41,94,65,14,7,8,41,20,75,15,3,0.251,0.298,0.39,326
"Tim Tawa 1B,2B,OF | ARI ",319,50,80,50,15,2,13,43,34,85,12,3,0.251,0.325,0.433,325
Eli White OF | ATL,329,47,84,51,16,5,12,44,23,84,12,2,0.255,0.31,0.444,324
Andres Chaparro 1B | WAS,386,47,98,61,22,1,14,55,31,90,3,1,0.254,0.321,0.425,324
Marcell Ozuna DH | PIT,385,50,96,59,18,1,18,55,62,118,1,0,0.249,0.355,0.442,324
Ke'Bryan Hayes 3B | CIN,438,53,105,80,15,3,7,47,30,98,11,3,0.24,0.296,0.336,322
Andrew McCutchen DH | PIT,367,48,96,59,20,0,17,50,49,93,2,1,0.262,0.351,0.455,322
Christopher Morel OF | MIA ,384,51,90,54,17,2,17,53,39,121,9,4,0.234,0.313,0.422,321
Dylan Carlson OF | CHC ,373,44,92,55,21,2,14,52,36,92,6,3,0.247,0.321,0.426,317
"Jake Bauers 1B,OF | MIL",308,47,71,43,13,1,14,49,36,96,11,1,0.231,0.317,0.416,315
Will Brennan OF | SF,389,49,107,72,20,3,12,42,28,80,6,4,0.275,0.329,0.434,314
Troy Johnston OF | COL,372,48,99,66,16,3,14,48,30,107,9,5,0.266,0.328,0.438,313
Christian Encarnacion-Strand 1B | CIN ,380,47,93,55,19,1,18,55,33,101,2,0,0.245,0.31,0.442,312
Dominic Smith 1B | ATL ,392,45,99,64,23,0,12,55,36,90,3,1,0.253,0.32,0.403,312
"Mauricio Dubon 2B,3B,SS,OF | ATL ",422,48,102,68,27,0,7,44,27,59,4,1,0.242,0.286,0.355,311
